Date,Close,High,Low,Open,Volume
,CSCO,CSCO,CSCO,CSCO,CSCO
2018-02-26,36.41551208496094,36.48776520665655,35.42805479677515,35.56453121415502,27771100
2018-02-27,36.15860366821289,36.61620563617923,35.82142149774895,36.45564284369548,27419300
2018-02-28,35.94988250732422,36.84100337853884,35.94988250732422,36.34326132039862,26885200
2018-03-01,35.163116455078125,36.12649013791873,34.80185094120284,35.869590897491975,32154300
2018-03-02,35.371849060058594,35.5002986804829,34.60114827503225,34.75368430474147,28848100
2018-03-05,35.74114990234375,35.941852673765844,35.08284505707779,35.25946141344198,22101700
2018-03-06,35.55649948120117,35.957904976191074,35.43607660771185,35.84551192759084,21930000
2018-03-07,35.48423767089844,35.63677061910913,35.163112128635774,35.347758243568755,22034400
2018-03-08,35.59663772583008,35.652834247458436,35.2755121201131,35.52438461766779,20285600
2018-03-09,36.42353820800781,36.5600176854691,35.81340312857028,35.82142989195917,22230900
2018-03-12,36.568023681640625,36.82492283892819,36.44760392430682,36.55196710150022,18299800
2018-03-13,36.25492858886719,37.05773923349443,36.06225268666564,36.7526703310418,23411200
2018-03-14,36.35127258300781,36.736621405223985,36.19873963123898,36.39944233421491,21141100
2018-03-15,36.391414642333984,36.72056694429233,36.22282204866351,36.3673282361067,23520400
2018-03-16,36.13453674316406,36.60819555203276,36.10242661733735,36.391439187153125,56129000
2018-03-19,35.54043960571289,35.98198499685396,35.24340042439699,35.79733885373972,26734100
2018-03-20,35.62071990966797,35.83747922706724,35.46818693630432,35.71705942572141,22809700
2018-03-21,35.57255172729492,36.04621027607789,35.428045521735335,35.51635520985292,22528200
2018-03-22,34.57706832885742,35.33973936497009,34.53692839274219,35.13100679720158,29520800
2018-03-23,34.055240631103516,35.19523382622332,34.055240631103516,35.09086754031891,31759200
2018-03-26,35.371849060058594,35.45212892439359,34.38439202883166,34.721571134015264,29731900
2018-03-27,34.26396942138672,35.741141598350666,33.910733728246846,35.71705825136947,30942000
2018-03-28,33.445098876953125,34.39241589629993,33.41298570892911,34.12748685382215,36696800
2018-03-29,34.43256378173828,34.46467695718299,33.38088331701234,33.6698927085718,55021200
2018-04-02,32.92327880859375,34.22383487490314,32.5379298838476,34.13552517210029,36791800
2018-04-03,33.22032165527344,33.316658122470216,32.69046649196954,33.18820847871415,28003900
2018-04-04,33.341712951660156,33.62495441868852,32.52435371177753,32.68620730169393,30117600
2018-04-05,33.843448638916016,34.00530219218429,33.487373291405625,33.58448418852668,29331600
2018-04-06,32.96135330200195,33.730155441367245,32.7347601570901,33.50356229645539,32208700
2018-04-09,33.31742858886719,34.037676816301364,33.09892982096138,33.13939244142171,25725800
2018-04-10,34.40184020996094,34.56369376348197,33.78680041110072,34.07004181443771,22724400
2018-04-11,34.337100982666016,34.717456374162225,34.199524380318536,34.32900660700451,21693000
2018-04-12,35.07353210449219,35.3163108962624,34.57988014520284,34.62034276264791,22297000
2018-04-13,34.79838180541992,35.39723903667432,34.5070460219502,35.243476769232075,18272300
2018-04-16,35.041160583496094,35.316310702553096,34.82265874597143,34.89549269181298,15807900
2018-04-17,36.085113525390625,36.21459575544566,35.372959716538034,35.4862562819487,21474600
2018-04-18,36.11748504638672,36.35216946722598,35.85042620898703,36.101299381656446,17605300
2018-04-19,36.06083679199219,36.376449536733226,35.91516889640403,35.94753713879037,21472300
2018-04-20,35.68048095703125,36.214595538699015,35.30012555791486,36.01227936250517,23539200
2018-04-23,35.809959411621094,35.996089903647636,35.50243799183399,35.81805069949202,20716800
2018-04-24,35.39723587036133,36.34407399484262,35.065437499333754,35.955627347329816,21421500
2018-04-25,35.37295913696289,35.59955535117138,34.59606576936188,35.44579308311922,21706000
2018-04-26,35.77758026123047,36.004176404352684,35.15444627006738,35.591449809911445,20549300
2018-04-27,36.182228088378906,36.69206577143053,35.89898664618366,36.16604242209629,20077400
2018-04-30,35.84233474731445,36.56257984528873,35.834240371438405,36.3521692919098,19958500
2018-05-01,36.279335021972656,36.376445913659275,35.4700703880185,35.534809953443045,16865500
2018-05-02,35.49435043334961,36.45737432034985,35.4457934397236,36.34407775565568,23601600
2018-05-03,35.963714599609375,36.263144698402186,35.15445006965967,35.615730604763066,23750200
2018-05-04,36.65968704223633,36.82154058530594,35.52671841494819,35.61573493089189,19504100
2018-05-07,37.007667541503906,37.22616934069468,36.65968353765556,36.70824052206438,17822400
2018-05-08,36.99149703979492,37.120979297516584,36.72444123385048,37.080516670809914,20285300
2018-05-09,37.2585563659668,37.30711028373902,36.57067935555478,37.14525977503085,20438300
2018-05-10,37.46895980834961,37.525608097662456,36.95912211743379,37.226180984565964,18469400
2018-05-11,37.169532775878906,37.44468293332394,37.048141820173655,37.29901502131773,17551500
2018-05-14,36.9833984375,37.41230775257425,36.95911839659585,37.02386105620702,22037700
2018-05-15,36.80535888671875,36.86200716982996,36.36026391065931,36.58685704310414,24753600
2018-05-16,36.54639434814453,36.86200709255964,36.42500340624646,36.70824790830866,31253700
2018-05-17,35.17063522338867,35.73712100360198,34.814559946702744,34.903579537649016,48210400
2018-05-18,34.968326568603516,35.25966235139444,34.88740133431706,35.17064274141946,24456000
2018-05-21,35.405330657958984,35.55908983974618,35.13827182490245,35.194923194087046,21785900
2018-05-22,35.32440948486328,35.53481697293108,35.18683286462264,35.437706062061345,16381800
2018-05-23,35.34868621826172,35.364871884488146,34.709366294268804,35.12209306529215,20638800
2018-05-24,35.25966262817383,35.58336974206028,34.806473286152766,35.28393958123037,18377500
2018-05-25,35.008785247802734,35.300120997822916,34.968322635210924,35.170638785269446,15362000
2018-05-29,34.77409744262695,34.92785659020548,34.40992779088923,34.604149547083246,25197400
2018-05-30,34.67698669433594,35.073527704591925,34.66080411906785,34.863120268012864,22498800
2018-05-31,34.56370162963867,34.903594478097105,34.48277637801072,34.68509259418107,31439600
2018-06-01,35.332496643066406,35.3567735961701,34.70127116557167,34.72554811867536,18352700
2018-06-04,35.267757415771484,35.470073592538135,34.968327251444926,35.203014757398215,18087700
2018-06-05,35.340576171875,35.405318808074334,35.11398311937494,35.397227522098824,16728800
2018-06-06,35.81805419921875,35.8585199038258,35.33249661493248,35.413421849946914,17730200
2018-06-07,35.32440948486328,35.923263703510244,35.08162757703863,35.801875836698116,19722000
2018-06-08,35.186824798583984,35.38914095065986,35.049251296980145,35.219196123820005,18812400
2018-06-11,35.35676956176758,35.54290005089033,35.15445341005596,35.300121286256285,15069000
2018-06-12,35.559078216552734,35.56717258969037,35.178726030752244,35.34867082145664,17564900
2018-06-13,35.61574172973633,36.036559787209285,35.478168198479864,35.62383610633974,24383200
2018-06-14,36.16603469848633,36.26314867544236,35.64810583645226,35.79377371478678,24020500
2018-06-15,35.809959411621094,36.03655251720131,35.27584488625378,35.898979013698906,49379800
2018-06-18,35.77758026123047,35.947525053247986,35.113983665363044,35.5024302273026,17625400
2018-06-19,35.46197509765625,35.623828637689684,35.15445368030269,35.30012155762282,22199200
2018-06-20,35.39723587036133,35.5995520255513,35.364864544627046,35.567180699817015,21276500
2018-06-21,34.92786407470703,35.42960732067308,34.846938840135024,35.356773374718344,20924400
2018-06-22,34.960235595703125,35.162551770345964,34.70936242779006,35.073532159567144,27460000
2018-06-25,34.22380065917969,34.6527099091108,33.83535402181009,34.54750464677129,28626700
2018-06-26,34.434207916259766,34.91167415102156,34.30472570448196,34.37755964155069,22171200
2018-06-27,34.25616455078125,34.91976113151376,34.215698859900975,34.579868468131934,20794800
2018-06-28,34.749813079833984,34.95212918481297,34.21569868617343,34.25616437684824,22197700
2018-06-29,34.822654724121094,35.20301007370885,34.77410082390101,34.83884038656094,20522900
2018-07-02,34.644615173339844,34.66080083417342,34.15096332276277,34.44229904356886,21810900
2018-07-03,34.53131866455078,34.984507947501626,34.49085605236397,34.749820474878895,13474700
2018-07-05,34.71075439453125,34.775998553559276,34.22140920159616,34.71075439453125,18118700
2018-07-06,34.83307647705078,34.97172532332587,34.506849570871786,34.572093707643575,20258300
2018-07-09,34.80045700073242,34.89017042175103,34.54763166276404,34.865704256440644,23210000
2018-07-10,34.955413818359375,35.10221701633532,34.83307678299274,34.963568168842464,20224600
2018-07-11,34.718902587890625,34.87386016035554,34.61287734822488,34.710748236144276,17721600
2018-07-12,35.542633056640625,35.58341103877207,34.865706730848345,34.87386108281039,17999500
2018-07-13,34.07459259033203,35.70573637137096,33.38951207784929,35.49368904874623,50831300
2018-07-16,34.661808013916016,35.02065855333657,34.25402203728171,34.29480001271312,24468000
2018-07-17,34.53131866455078,34.669964411435174,34.368203642034814,34.42529343324136,21188400
2018-07-18,34.4253044128418,34.637354943092,34.37637206829273,34.4497736962776,20364000
2018-07-19,34.580257415771484,35.077753770898894,34.43345419256649,34.906484380879924,24498800
2018-07-20,34.26218795776367,34.55579445787278,34.139853990158976,34.46608101493265,20732100
2018-07-23,34.30297088623047,34.35190323141563,33.79731383746746,34.18878815475535,15656500
2018-07-24,34.57209777832031,34.97172944105707,34.3111149781838,34.43345202688046,17493900
2018-07-25,35.20008850097656,35.24902394253103,34.49054170981884,34.54763150271887,20658300
2018-07-26,35.50185012817383,35.74652423063593,35.249024785331656,35.542631219357816,23518700
2018-07-27,34.718902587890625,35.575252634641906,34.59656553357165,35.28164619320477,22050900
2018-07-30,34.39268112182617,34.75153491165759,34.3192826042639,34.629197826731186,15300400
2018-07-31,34.49053955078125,34.759676684582445,34.18877568015906,34.44976157428533,20900300
2018-08-01,34.13985061645508,34.531324874194645,33.70759837354363,34.245875866830644,21650000
2018-08-02,34.686275482177734,34.743365272162,33.60156636131643,33.75652391825084,18033200
2018-08-03,34.93095779418945,34.971735780760476,34.629193849009795,34.83308689302586,13394300
2018-08-06,35.31427764892578,35.40399109382076,34.792311908985454,34.84940171734385,14345800
2018-08-07,35.542633056640625,35.59156539073411,35.26533842252196,35.31427075661544,18040500
2018-08-08,35.75467300415039,35.85254076317077,35.42844299253582,35.591557998343106,13917100
2018-08-09,35.705745697021484,35.97488598454388,35.640501546542545,35.79545912619562,14098900
2018-08-10,35.705745697021484,35.84439457242532,35.5426337652438,35.63234408325725,14322100
2018-08-13,35.6812858581543,36.20325159920779,35.64050786797723,35.95042619341319,18113200
